company_number,company_status,company_type,incorporation_date,dissolution_date,age_days,sic_primary,sic_sector,region,has_insolvency_history,has_charges,has_been_liquidated,office_in_dispute,undeliverable_address,officer_count,resigned_count,officer_turnover_rate,filing_count,accounts_count,confirmation_count,charge_count,outstanding_charges,charge_satisfaction_rate,psc_count,corporate_psc_count,dissolved
NI606322,dissolved,ltd,2011-02-24,2017-08-01,2350,01500,Agriculture/Mining,County Tyrone,0,0,0,0,0,4,2,0.5,25,6,5,0,0,0.0,0,0,1
NI606368,dissolved,ltd,2011-02-28,2021-01-05,3599,47710,Construction/Transport,Larne,0,0,0,0,0,2,1,0.5,29,17,8,0,0,0.0,1,0,1
NI605792,dissolved,ltd,2011-01-18,2023-11-28,4697,46342,Construction/Transport,Belfast,0,0,0,0,0,2,0,0.0,31,11,12,0,0,0.0,2,0,1
NI606574,dissolved,ltd,2011-03-11,2019-09-24,3119,69109,Finance/Insurance,Belfast,0,0,0,0,0,7,6,0.857,28,6,7,0,0,0.0,2,0,1
NI606421,dissolved,ltd,2011-03-03,2023-09-12,4576,96020,Other Services,Enniskillen,0,0,0,0,0,1,0,0.0,30,11,12,0,0,0.0,1,0,1
NI606491,dissolved,ltd,2011-03-08,2016-07-12,1953,96090,Other Services,Down,0,0,0,0,0,5,0,0.0,19,0,1,0,0,0.0,0,0,1
NI606509,dissolved,ltd,2011-03-08,2020-09-22,3486,41100,Construction/Transport,Co. Down,0,0,0,0,0,3,2,0.667,42,7,8,0,0,0.0,1,0,1
NI606705,dissolved,ltd,2011-03-21,2015-09-26,1650,46900,Construction/Transport,Antrim,1,0,1,0,0,1,0,0.0,13,2,1,0,0,0.0,0,0,1
NI606818,dissolved,ltd,2011-03-28,2020-10-20,3494,62020,Finance/Insurance,Crumlin,0,0,0,0,0,3,1,0.333,23,8,9,0,0,0.0,1,0,1
NI606840,dissolved,ltd,2011-03-29,2018-09-04,2716,99999,Other Services,Antrim,0,0,0,0,0,2,1,0.5,22,8,7,0,0,0.0,2,1,1
NI606997,dissolved,ltd,2011-04-07,2015-08-07,1583,68320,Finance/Insurance,Co Antrim,0,0,0,0,0,1,0,0.0,12,4,4,0,0,0.0,0,0,1
NI607020,dissolved,ltd,2011-04-08,2015-09-11,1617,80300,Public/Education/Health,County Down,0,0,0,0,0,2,1,0.5,16,3,4,0,0,0.0,0,0,1
NI607447,dissolved,ltd,2011-05-17,2021-08-03,3731,86220,Public/Education/Health,Londonderry,0,0,0,0,0,2,0,0.0,23,9,9,0,0,0.0,1,0,1
NI607576,dissolved,ltd,2011-05-25,2017-01-24,2071,,Unknown,Belfast,0,0,0,0,0,1,0,0.0,12,0,0,0,0,0.0,0,0,1
NI607684,dissolved,ltd,2011-06-02,2016-11-15,1993,56102,Retail/Trade,Belfast,0,0,0,0,0,3,2,0.667,19,4,4,0,0,0.0,0,0,1
NI607687,dissolved,ltd,2011-06-02,2015-02-06,1345,47650,Construction/Transport,County Antrim,0,0,0,0,0,1,0,0.0,9,2,2,0,0,0.0,0,0,1
NI606739,dissolved,ltd,2011-03-23,2019-11-16,3160,71200,Real Estate/Business,Northern Ireland,1,0,0,0,0,2,1,0.5,17,2,3,0,0,0.0,0,0,1
NI606799,dissolved,ltd,2011-03-25,2022-11-02,4240,33190,Manufacturing,Co Antrim,1,0,0,0,0,2,0,0.0,31,10,9,0,0,0.0,2,0,1
NI607000,dissolved,ltd,2011-04-07,2014-11-21,1324,47990,Construction/Transport,County Londonderry,0,0,0,0,0,2,0,0.0,11,2,2,0,0,0.0,0,0,1
NI607190,dissolved,ltd,2011-04-20,2021-09-25,3811,93290,Other Services,Belfast,1,0,0,0,0,3,0,0.0,23,6,6,0,0,0.0,2,0,1
NI606847,dissolved,private-limited-guarant-nsc-limited-exemption,2011-03-29,2023-05-30,4445,87900,Public/Education/Health,Londonderry,0,0,0,0,0,8,3,0.375,36,10,11,0,0,0.0,0,0,1
NI607011,dissolved,private-limited-guarant-nsc,2011-04-08,2020-12-22,3546,94110,Other Services,Belfast,0,0,0,0,0,12,8,0.667,37,10,9,0,0,0.0,2,2,1
NI607053,dissolved,ltd,2011-04-12,2015-05-15,1494,32300,Manufacturing,Antrim,0,0,0,0,0,2,1,0.5,17,0,2,0,0,0.0,0,0,1
NI607228,dissolved,ltd,2011-04-26,2016-10-04,1988,41202,Construction/Transport,Co.Tyrone,0,0,0,0,0,2,1,0.5,20,4,4,0,0,0.0,0,0,1
NI607339,dissolved,ltd,2011-05-09,2021-12-07,3865,71122,Real Estate/Business,Co. Londonderry,0,0,0,0,0,2,0,0.0,23,9,10,0,0,0.0,2,0,1
NI607519,dissolved,ltd,2011-05-20,2015-01-16,1337,62020,Finance/Insurance,Belfast,0,0,0,0,0,2,0,0.0,9,0,1,0,0,0.0,0,0,1
NI606885,dissolved,ltd,2011-03-31,2016-10-18,2028,99999,Other Services,Belfast,0,0,0,0,0,2,0,0.0,14,4,5,0,0,0.0,0,0,1
NI606933,dissolved,ltd,2011-04-04,2016-10-11,2017,96010,Other Services,Belfast,0,0,0,0,0,2,0,0.0,16,6,5,0,0,0.0,0,0,1
NI607060,dissolved,ltd,2011-04-12,2022-12-14,4264,71111,Real Estate/Business,Belfast,1,0,0,0,0,2,1,0.5,29,6,7,0,0,0.0,2,0,1
NI607545,dissolved,ltd,2011-05-23,2017-07-11,2241,96090,Other Services,Belfast,0,0,0,0,0,1,0,0.0,14,4,5,0,0,0.0,0,0,1
NI607639,dissolved,ltd,2011-05-31,2019-07-16,2968,86210,Public/Education/Health,County Tyrone,0,0,0,0,0,1,0,0.0,20,6,7,0,0,0.0,2,0,1
NI606758,dissolved,ltd,2011-03-24,2015-11-10,1692,62020,Finance/Insurance,Belfast,0,0,0,0,0,1,0,0.0,13,3,3,0,0,0.0,0,0,1
NI606759,dissolved,private-limited-guarant-nsc-limited-exemption,2011-03-24,2022-10-11,4219,86900,Public/Education/Health,Belfast,0,0,0,0,0,6,3,0.5,41,11,11,0,0,0.0,0,0,1
NI606830,dissolved,ltd,2011-03-28,2014-11-05,1318,56302,Retail/Trade,Co. Armagh,1,0,1,0,0,3,2,0.667,12,1,1,0,0,0.0,0,0,1
NI606920,dissolved,ltd,2011-04-01,2024-04-09,4757,99999,Other Services,Belfast,0,0,0,0,0,1,0,0.0,36,12,12,0,0,0.0,1,0,1
NI607001,dissolved,ltd,2011-04-07,2016-11-29,2063,69201,Finance/Insurance,Co. Antrim,0,0,0,0,0,1,0,0.0,15,5,5,0,0,0.0,0,0,1
NI607278,dissolved,ltd,2011-05-04,2016-10-04,1980,38110,Manufacturing,Antrim,0,0,0,0,0,2,0,0.0,12,3,2,0,0,0.0,0,0,1
NI607421,dissolved,ltd,2011-05-16,2019-02-12,2829,20412,Manufacturing,Craigavon,0,0,0,0,0,3,1,0.333,22,7,7,0,0,0.0,1,0,1
NI607551,dissolved,ltd,2011-05-24,2015-11-03,1624,47990,Construction/Transport,Belfast,0,0,0,0,0,2,1,0.5,17,5,4,0,0,0.0,0,0,1
NI607867,dissolved,ltd,2011-06-14,2022-08-02,4067,80200,Public/Education/Health,Londonderry,0,0,0,0,0,2,2,1.0,25,4,7,0,0,0.0,0,0,1
NI606870,dissolved,ltd,2011-03-30,2015-06-12,1535,58110,Retail/Trade,Belfast,0,0,0,0,0,2,0,0.0,12,2,3,0,0,0.0,0,0,1
